Candidate,party,district,totalCandVotes,totalvotes,voteBreakdown
Jeffrey N Spiegelman,republican, 11,5104,7827,0.652101699
Paul A Thornburg,democrat, 11,2723,7827,0.347898301
Charlotte Middleton,republican, 28,2438,7614,0.320199632
William J Carson Jr,democrat, 28,5176,7614,0.679800368
Robin R Hayes,republican, 29,4090,9675,0.422739018
William Bush,democrat, 29,5585,9675,0.577260982
Charles Groce,democrat, 30,2513,7128,0.352553311
W Shannon Morris,republican, 30,4615,7128,0.647446689
David Levi Anderson,republican, 31,2464,7139,0.345146379
Sean M Lynn,democrat, 31,4675,7139,0.654853621
Andria Bennett,democrat, 32,3510,5630,0.623445826
Cheryl Precourt,republican, 32,2120,5630,0.376554174
Charles S Postles Jr,republican, 33,5001,8265,0.60508167
James Todd Webb,democrat, 33,3264,8265,0.39491833
Adewunmi Kuforiji,democrat, 34,3825,9419,0.406094065
Lyndon D Yearick,republican, 34,5476,9419,0.581378066
William Mcvay,libertarian, 34,118,9419,0.012527869
Nnamdi O Chukwuocha,democrat, 1,7640,7640,1
Erin L Wienner,republican, 10,2938,9386,0.313019391
Sean Matthews,democrat, 10,6448,9386,0.686980609
Deborah D Hudson,republican, 12,5898,12589,0.46850425
Krista Griffith,democrat, 12,6691,12589,0.53149575
John L Mitchell Jr,democrat, 13,5528,5528,1
Amy Merlino,libertarian, 15,1011,8340,0.121223022
Valerie Longhurst,democrat, 15,7329,8340,0.878776978
Albert John Ament,republican, 16,987,6752,0.14617891
Franklin D Cooke Jr,democrat, 16,5765,6752,0.85382109
Melissa Minor-Brown,democrat, 17,6107,6107,1
David S Bentz,democrat, 18,5876,5876,1
James R Startzman Jr,republican, 19,2535,7426,0.341368166
Kimberly Williams,democrat, 19,4891,7426,0.658631834
Stephanie T Bolden,democrat, 2,4693,4693,1
Michael Ramone,republican, 21,5114,9819,0.520826968
Stephanie Barry,democrat, 21,4705,9819,0.479173032
Guillermina Gonzalez,democrat, 22,5815,11770,0.494052676
Michael F Smith,republican, 22,5955,11770,0.505947324
Paul S Baumbach,democrat, 23,5786,5786,1
Edward Osienski,democrat, 24,4989,7194,0.693494579
William W Dilks Sr,republican, 24,2205,7194,0.306505421
Bryan K Rash,republican, 25,2189,6216,0.352155727
John A Kowalko Jr,democrat, 25,4027,6216,0.647844273
John Viola,democrat, 26,5417,7331,0.738916928
Justin Cruice,republican, 26,1914,7331,0.261083072
Earl G Jaques Jr,democrat, 27,7123,8347,0.853360489
William Hinds,libertarian, 27,1224,8347,0.146639511
Sherry Dorsey Walker,democrat, 3,4434,4434,1
Gerald L Brady,democrat, 4,8512,8512,1
Kendra Johnson,democrat, 5,6824,6824,1
Debra Heffernan,democrat, 6,7073,10827,0.653274222
Jeffrey L Olmstead,republican, 6,3754,10827,0.346725778
Eric Braunstein,republican, 7,3348,9445,0.354473266
Raymond Seigfried,democrat, 7,5943,9445,0.62922181
Scott Gesty,libertarian, 7,154,9445,0.016304923
Cody Mcnutt,libertarian, 8,118,9316,0.01266638
Daniel Zitofsky,republican, 8,3334,9316,0.357878918
S Quinton Johnson,democrat, 8,5864,9316,0.629454702
Kevin S Hensley,republican, 9,6961,11860,0.58693086
Monique Johns,democrat, 9,4899,11860,0.41306914
James L Demartino,republican, 14,5125,13655,0.375320395
Peter C Schwartzkopf,democrat, 14,8530,13655,0.624679605
Harry R Smouse Jr,libertarian, 20,134,14602,0.009176825
John D Bucchioni,democrat, 20,6281,14602,0.430146555
Stephen T Smyk,republican, 20,8187,14602,0.56067662
Jesse R Vanderwende,republican, 35,5648,5648,1
Bryan W Shupe,republican, 36,5244,8092,0.648047454
Donald M Allan Jr,democrat, 36,2848,8092,0.351952546
Ruth Briggs King,republican, 37,6853,6853,1
Meghan M Kelly,democrat, 38,5019,14654,0.342500341
Ronald E Gray,republican, 38,9635,14654,0.657499659
Daniel B Short,republican, 39,5452,5452,1
Timothy D Dukes,republican, 40,5848,5848,1
Richard G Collins,republican, 41,2988,4772,0.626152557
S Bradley Connor,democrat, 41,1784,4772,0.373847443
